top1,top2,top3,top4,top5,top6,top7,top8
link,kunnen,tweedekamer,and,nederland,mensen,groenlinks,even
bio,mensen,kamer,of,fvd,jaar,door,weer
via,worden,tweede,to,tk,ze,politiek,zo
of,of,vvd,i,ons,mijn,kamer,jaar
mijn,hebben,week,for,vrijheid,nog,maart,nog
ons,moet,den,on,politiek,was,tweede,mijn
gesprek,door,mijn,this,verkiezingen,veel,samen,mooi
mee,moeten,weer,you,maart,al,stem,dan
jij,hun,corona,love,democratie,nu,racisme,dag
dan,kan,prinsjesdag,be,tweedekamer,dan,denkanders,mooie
uur,nu,haag,with,wij,hebben,nederland,fijne
nieuwe,nog,was,my,wil,weer,gaan,lekker
wil,uit,debat,rondje,weer,zo,gay,door
live,ons,dank,it,stem,ons,ons,zee
kortelijnmetmartijn,dan,werkbezoek,all,jij,door,mijn,was
weten,ze,zorg,from,partij,wel,discriminatie,wel
vanavond,veel,door,moos,geen,me,dwars,zon
zie,wij,gesprek,amsterdam,ombudspolitiek,elkaar,groningen,uit
kijk,daarom,laatste,run,land,heb,jouw,na
benieuwd,zo,cda,that,nog,heel,toeslagenaffaire,toch
